index,condition_concept_id
H90.3,45576850
F40.01,45581459
J45.909,45562457
R00.2,45558446
H83.2X9,45586555
Z51.89,45537653
F32.9,35207155
Z88.5,45566471
D72.829,45537933
F43.9,45552484
G45.4,45566883
Z72.820,45537668
E78.5,35207065
H91.92,45533422
E03.9,45537945
F41.8,45595908
Z01.818,45576122
R42,45568132
Z09,45581005
D05.90,45537886
Z51.0,45609946
I10,45591453
Z92.3,45561672
T14.8,35214540
N17.9,45567829
I82.409,45567234
E21.3,45581360
C50.819,45552262
K57.32,45605944
Z08,45571319
C50.919,45600511
E78.0,35207060
Z79.01,45552108
Z86.718,45542473
M89.9,45606447
Z12.31,45542403
N63,45601743
Z85.3,45547353
Z85.828,45605160
I12.9,45605778
K52.2,45591595
R11.2,45606796
R05,45606792
I25.10,45586572
B19.20,45581151
J44.9,45548115
I25.2,45601025
F17.210,45562025
K59.00,45601182
Z23,45556822
Z71.6,45542453
I20.9,45562339
J41.1,45543267
R10.13,45558454
R10.9,45568114
K43.9,1569606
R50.9,45582716
R00.0,45606790
R07.9,45534424
K52.89,45581903
R11.10,45602008
M54.89,42617905
Z72.0,45581063
K52.9,45572215
N39.0,45548665
E86.0,45557144
K12.2,45552913
K80.20,45552952
K74.60,45601187
K80.70,45538551
N20.1,45582395
N13.30,45572699
N20.0,45567830
H25.13,45533277
H26.9,35207545
R87.612,45534474
Z32.02,45561623
Z30.018,45590713
Z30.09,45609920
F17.200,45595884
G93.3,45595967
M06.9,45533705
E87.6,35207098
D64.9,35206757
R91.8,45577823
R04.2,35211272
E78.4,35207064
F43.21,45581461
F41.9,45542849
J47.9,45562459
E78.9,45581384
N40.0,45539047
J30.0,45581852
L60.0,45548199
D12.0,45586086
F33.9,45581458
I95.1,45605872
F32.2,45557202
B35.1,45590850
N28.9,45601723
M50.30,45567576
K62.0,45586727
K64.8,45572224
Z12.11,45552065
K21.9,45538509
D12.7,45595733
I88.9,45557609
M72.2,45553265
M79.609,45562838
Z83.71,45576191
R26.89,45597175
Z74.09,45552105
I48.91,45576876
I63.50,45552806
Z51.81,45556843
R26.2,45602016
M54.2,45591867
H51.11,45538311
M25.519,45606200
H35.31,45581654
H26.499,45581633
G25.2,45547728
G25.0,45533132
M25.60,45586942
M62.81,42618102
R26.0,45534437
I48.0,45581776
M62.82,45557929
Z79.891,45571391
R17,45587498
Z86.73,45576200
Z91.041,45561670
Z88.8,45547363
R06.02,45534422
I67.89,45576890
R15.9,45577785
R35.1,45582701
R55,45568141
S09.90XA,45558614
R60.9,45568143
Z79.82,45537677
R10.2,45548947
Z91.81,45552141
M16.0,45543482
F03.90,45538000
H53.2,45576792
R60.0,45597193
I63.9,45596216
I49.9,45581778
I42.5,45586582
H26.493,45605650
H51.9,35207565
H91.90,45552763
R62.7,45602035
M25.551,45562699
M79.604,45533939
R41.0,45558469
M25.571,45538740
G90.4,45581522
R41.2,45553735
R35.0,45563299
R39.15,45582704
Z87.440,45542476
Z66,45552096
G93.41,45538147
M54.9,45538791
M25.559,45577228
L89.151,45543390
H53.149,45533363
H35.30,45586446
H26.40,45557384
G44.1,45571808
M54.5,45553207
M54.6,45606247
S09.8XXA,45592558
I95.9,45572153
R25.0,45544137
D17.1,45566667
R07.82,45597167
S43.439A,45573641
M89.30,45572662
G90.512,45538144
G43.101,45605543
M79.7,45553272
G90.521,45566909
M75.81,45572544
S43.016A,45568718
S49.91XA,45535096
M79.601,45557992
R45.89,45544149
D21.9,45552335
Z48.89,45595523
T24.339A,45608895
T31.0,45604178
Z48.817,45609944
T24.239A,45604138
F10.10,45595845
N31.9,45592128
F10.20,45586187
K70.9,45605953
D21.5,45532975
G89.18,45538143
J98.4,45552903
R07.89,45602002
G89.29,45542912
R94.31,45568157
I42.1,45538382
Z79.52,45581074
E87.1,35207093
Z86.79,45537689
I21.4,35207685
E11.9,45561952
M79.1,45587062
I51.7,45567182
R06.09,45548944
R06.00,45587496
I48.92,45572094
M79.646,45591934
M65.80,45562795
M77.9,45591933
Z95.5,45542496
E87.5,35207097
J95.811,45562470
J90,45605897
K44.9,45533596
Z48.02,45571358
S39.82XA,45549449
M25.579,45572431
L28.2,45581940
L91.0,45548222
J02.9,45538472
Z11.3,45595483
G24.01,45600773
R56.9,45558476
Z00.00,45552054
B18.2,45590846
R20.0,35211304
G24.02,45581483
Z85.51,45600359
C79.51,45552285
C80.1,45561836
C41.3,45595651
C79.89,45532939
C78.00,45586027
Z51.11,45571362
C41.9,45576312
C78.2,45552282
C49.9,45542611
C78.01,45537840
C49.3,45556989
Z98.89,45595569
R77.0,45534463
K76.89,45605957
M32.9,45553167
D47.3,35206679
D60.9,45537920
M35.00,45548403
M23.40,35208796
M32.10,45582126
L28.0,45577032
L29.9,45548195
R92.2,45563331
L20.0,35208449
L28.1,45577033
H25.813,45562207
K74.0,45586732
H26.8,45552644
Z98.42,45600389
L66.3,45538580
B95.8,45537780
J32.9,45596278
H04.123,45557293
K63.5,45601184
D12.6,45576377
Z86.010,45590764
L90.9,45606012
Z42.8,45590723
L11.9,45605978
Z13.220,45556816
L25.9,45591632
Z71.89,45581062
L30.1,45572269
S63.105D,45550077
M25.522,45553157
M79.642,45582250
S63.124A,45569277
M25.532,45553158
M25.531,45557855
S60.417A,45578734
S51.012A,45597864
M79.641,45582249
S63.141A,45583803
S63.104A,45545269
S62.609D,45540404
S62.501D,45588582
Z87.09,45571399
Z11.51,45585801
Z12.4,45581009
O99.613,1424273
Z3A.39,45552082
O99.013,45582591
D62,35206748
K66.0,35208325
O99.513,45587400
Q96.3,45568104
Z37.0,45571346
O09.521,45596913
Z3A.18,45537634
O09.522,45601774
O65.4,45548816
O62.2,45606638
O61.0,45534290
Q96.9,35211240
O09.511,45606534
Z90.79,45595560
O09.819,45567884
Z83.3,45561657
Z3A.21,45600326
Z3A.12,45595510
M19.041,45596495
M18.11,45582057
R07.2,45568108
M51.36,45577283
M16.9,35208771
M70.60,45543668
F43.10,45600746
Q76.2,45582678
E83.111,45571692
Z80.42,45542463
Z87.81,45585869
D61.01,45532992
Z80.3,45556856
Z82.49,45605152
D56.9,35206723
H54.3,35207575
H47.49,45533342
H46.8,45581685
M48.06,45538775
M43.00,45567560
M54.14,45596594
M19.90,45586894
R58,35211396
D65,45547609
O75.89,45597027
O99.011,45568004
O08.1,35209541
E29.1,45576454
N46.01,45567846
Q98.4,45592404
M43.27,42617486
S23.9XXA,45558746
M15.9,35208765
Z76.0,45542456
I47.1,45567178
R12,45539318
G47.00,45571810
L57.0,45591640
R19.7,45534435
M25.569,45548395
R52,35211389
R41.82,45534453
L98.9,35208722
F32.8,45571759
R21,45553721
D49.2,45566695
S43.429A,45588104
D48.5,45586113
K62.5,35208310
B37.3,45605230
F32.4,45576541
D75.9,45576417
F33.0,45538065
D50.9,35206695
D70.9,45557094
F31.4,35207147
G47.33,45552539
F32.1,45552478
F33.3,45562042
L57.8,45548198
D22.9,35206565
D23.9,35206569
D22.5,35206564
L82.1,45596388
D23.5,35206568
D23.30,45542689
J96.00,45605906
C56.9,45542615
D69.6,45581327
L89.139,45601238
I74.3,35207863
D68.8,45532994
R57.1,35211393
L89.002,45567370
E87.2,45571697
Z51.5,45547323
I74.09,45596248
D63.0,35206749
C77.2,45576338
C78.6,45547522
Z85.528,45595550
M81.0,45538882
E21.0,45571667
C57.9,45566609
N18.6,45548653
F71,45586256
E11.40,45605403
F79,45581472
E11.65,45605405
Z71.3,45552101
Z79.4,45576185
N18.4,35209277
Z76.82,45609966
E16.2,35206889
E11.29,45605401
N18.5,45582394
N18.9,45553438
F89,45557220
E11.22,45595797
E13.21,45542741
E10.65,45533018
N18.3,35209276
E10.29,45600637
E10.40,45600638
M79.672,45538868
Z89.422,45605169
L60.3,45601226
L85.9,45606000
E11.42,45557113
Z89.421,45581085
N08,45592123
R62.50,45597196
E08.42,45547617
E08.21,45533009
E11.21,45591027
R63.4,45568144
A04.8,45561679
B35.0,45552218
R63.6,35211411
G80.9,45600805
Z00.129,45571312
L21.9,45572264
L03.019,45596360
L21.8,45548192
J20.9,45562445
R50.2,45577798
H00.019,45591210
L89.90,45567375
L53.9,45577042
S81.009A,45550397
G40.901,45538107
M10.9,45543454
L25.2,45605983
S42.101D,45539834
Z13.89,45576136
Z47.89,45561631
R11.0,45534429
Z86.711,45547359
G31.9,45600776
I50.32,45533456
Z99.3,45547382
R47.1,45558471
Z82.3,45552113
I50.9,45576879
S42.009A,45573528
Z22.322,45590710
S02.0XXD,45549031
I63.30,45591474
M17.9,35208776
L03.119,45552969
G40.909,45571800
F39,45591137
R13.10,45539319
M79.89,42618510
B95.62,45571485
M12.9,45586884
R31.0,45553727
F81.9,45581474
S32.301D,45554118
I82.519,45605853
I26.99,45572084
G31.84,45595932
R82.99,45563325
G40.409,45542881
Z86.14,45542472
L84,45533651
R40.0,45553729
I82.419,45605848
I47.2,45586586
Z77.9,45542461
N60.09,45563021
M62.40,45543634
R47.02,45553739
I69.30,45601060
R19.4,45573017
I50.33,45562355
I77.1,45533502
J38.4,45533550
J18.2,35207954
L27.0,35208483
R03.1,45597164
I87.2,45552867
L26,45581939
J91.8,45567276
I08.0,35207658
T83.51XA,45609353
G40.A11,45605541
G92,45542914
R79.1,45592434
J69.0,35208059
G40.B09,45586287
J96.02,45596289
Z87.01,45609984
R31.9,45587506
J96.91,45605907
E87.0,35207092
S42.253A,45563828
E53.8,45533035
D49.89,45566696
S72.043A,45588803
I50.30,45601038
E87.4,45547666
I27.82,45533441
R09.02,45573007
I27.2,45581768
I49.8,45576877
R45.84,45534456
L03.90,45552971
I69.90,45596225
Z01.810,45542396
D68.51,45537927
Z96.619,45595567
Z88.2,45556871
Z87.891,45566469
Z88.1,45542478
M75.120,45591931
M47.817,45543593
M10.00,45582021
Z90.89,45537698
Z88.0,45561667
G43.909,45600786
E66.9,45576460
Z68.32,45595538
M19.219,45562651
M51.34,45543610
Z68.35,45566452
Z91.048,45585877
Z88.3,45552131
I82.549,45576924
R23.4,45563295
Z97.4,45542504
Z87.442,45609986
M75.100,45548501
Z47.1,45556838
M25.469,45572428
Z96.659,45537704
Z45.2,35225144
M25.619,45582117
G57.80,45595954
F11.20,45586193
M96.0,45548637
Z87.820,45552130
Z88.6,45561668
Z68.34,45585849
M17.5,35208775
I82.91,45567242
K35.3,45557650
Z34.80,45605119
Z34.00,45571343
K03.81,45581874
H52.7,35207568
K35.2,45552925
B37.9,45576267
I82.A19,45557600
M60.9,45567590
O25.11,45548717
Z30.430,45595498
