ICD10,relationship,ICD9
A00.0,<9-10>,001.0
A00.1,<9-10>,001.1
A00.9,<9-10>,001.9
A01.00,<9-10>,002.0
A01.1,<9-10>,002.1
A01.2,<9-10>,002.2
A01.3,<9-10>,002.3
A01.4,<9-10>,002.9
A02.0,<9-10>,003.0
A02.1,<9-10>,003.1
A02.20,<9-10>,003.20
A02.21,<9-10>,003.21
A02.22,<9-10>,003.22
A02.23,<9-10>,003.23
A02.24,<9-10>,003.24
A02.29,<9-10>,003.29
A02.8,<9-10>,003.8
A02.9,<9-10>,003.9
A03.0,<9-10>,004.0
A03.1,<9-10>,004.1
A03.2,<9-10>,004.2
A03.3,<9-10>,004.3
A03.8,<9-10>,004.8
A03.9,<9-10>,004.9
A05.0,<9-10>,005.0
A05.1,<9-10>,005.1
A05.2,<9-10>,005.2
A05.3,<9-10>,005.4
A05.5,<9-10>,005.81
A05.4,<9-10>,005.89
A05.9,<9-10>,005.9
A06.0,<9-10>,006.0
A06.1,<9-10>,006.1
A06.2,<9-10>,006.2
A06.4,<9-10>,006.3
A06.5,<9-10>,006.4
A06.6,<9-10>,006.5
A06.7,<9-10>,006.6
A06.89,<9-10>,006.8
A06.9,<9-10>,006.9
A07.0,<9-10>,007.0
A07.1,<9-10>,007.1
A07.3,<9-10>,007.2
A07.8,<9-10>,007.3
A07.2,<9-10>,007.4
A07.4,<9-10>,007.5
A07.8,<9-10>,007.8
A07.9,<9-10>,007.9
A04.4,<9-10>,008.00
A04.0,<9-10>,008.01
A04.1,<9-10>,008.02
A04.2,<9-10>,008.03
A04.3,<9-10>,008.04
A04.4,<9-10>,008.09
A04.8,<9-10>,008.2
A04.8,<9-10>,008.41
A04.5,<9-10>,008.43
A04.6,<9-10>,008.44
A04.7,<9-10>,008.45
A04.8,<9-10>,008.49
A04.9,<9-10>,008.5
A08.0,<9-10>,008.61
A08.2,<9-10>,008.62
A08.11,<9-10>,008.63
A08.19,<9-10>,008.64
A08.31,<9-10>,008.65
A08.32,<9-10>,008.66
A08.39,<9-10>,008.67
A08.39,<9-10>,008.69
A08.8,<9-10>,008.8
A09,<9-10>,009.0
A15.7,<9-10>,010.90
A15.5,<9-10>,011.30
A15.0,<9-10>,011.90
A15.6,<9-10>,012.00
A15.4,<9-10>,012.10
A15.5,<9-10>,012.20
A15.5,<9-10>,012.30
A15.8,<9-10>,012.80
A17.0,<9-10>,013.00
